-64	7
-13	28
2	0
-10	-16
-30	-13
11	-25
-20	8
4	0
20	16
6	32
1	-28
9	-15
0	-15
24	9
-7	13
-10	-5
10	-5
7	27
48	20
35	13
11	1
-36	57
-50	-4
-31	5
-78	-49
-15	-17
12	-35
21	-20
25	-13
-68	-48
29	4
-7	-16
0	-34
27	-1
21	-23
18	-1
41	31
14	56
3	56
27	23
-15	33
-11	43
-2	-4
-46	-16
-13	2
-72	-23
4	-30
-15	-24
-7	-18
11	-30
6	2
36	-11
10	16
-11	13
-25	-4
-5	0
-12	-13
-5	-34
16	-17
-2	-17
14	-27
-5	18
-48	-47
15	-1
